ID_BCT_O,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO
MC11356,OPICHEN,TEKAX,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29587224,-99.22731856,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11357,ACANCEH,IZAMAL,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29045274,-99.22296461,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11358,POPOLNA,KINCHIL ,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.294867,-99.220253,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11359,BALANCÁN,YOBAIN,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.298453,-99.224911,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11360,SINANCHE,SACALUM,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29285295,-99.22831336,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11361,CACALCHEN ,HOPELCHÉN,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.297415,-99.224204,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11362,CONTOY,POPOLNA ,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.294809,-99.221491,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11363,CHEMAX,CONTOY,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.292001,-99.221353,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11364,CUZAMA,TULUM,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.298545,-99.228079,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11365,CUZAMA,POMUCH,PEDREGAL DE SAN NICOLAS 1RA SECCION 442,#N/A,PADIERNA,TLALPAN,SUR,19.298362,-99.229439,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11366,CACALCHEN,TEKIT,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.297362,-99.226707,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11367,CHEMAX,BOCHIL,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.291834,-99.224973,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11368,ACANCEH,POMUCH,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29002,-99.22857,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11369,CHICOASEN,POPOLNA,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29423181,-99.23034299,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11370,TEKIT,CHEMAX,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.291742,-99.226204,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11371,SINANCHE,SEYE,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29277175,-99.22945787,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11372,TULUM,ENTRE CACALCHEN Y CUZAMA,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29748,-99.227958,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11373,CACALCHEN,BOCHIL,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.297324,-99.225454,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11374,ACANCEH ,CANCUN,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.290746,-99.220611,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11375,OPICHEN,YUCALPETEN,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.296162,-99.22221,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11377,SINANCHE,KINCHIL,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.293503,-99.220142,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11378,ACANCEH,TEKIT,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.290335,-99.226075,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11379,TIZIMÍN,AKIL,HEROES DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.289099,-99.222205,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
