ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
MT14955,0,AV. TLÁHUAC,ENTRE LESINA Y BAHAMAS,LOMAS ESTRELLA 1A SECCION,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.322381,-99.095901,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14956,0,AV. TLÁHUAC,ENTRE PASEO DE LAS GALIAS Y SIRACUSA,LOMAS ESTRELLA 2A SECCION,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.322101,-99.095795,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14957,0,AV. TLÁHUAC,LUIS FRANCISCO BREGUET Y HERMANOS WRIGHT,SAN ANDRES TOMATLAN,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.328039,-99.104036,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14958,0,AV. TLÁHUAC,ENTRE 2A ÓRGANO Y CDA DE PINO,SAN ANDRES TOMATLAN,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.32826,-99.104924,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14959,0,AV. TLÁHUAC,ENTRE CALZ. TAXQUEÑA Y JACOBO WATT,SAN ANTONIO CULHUACAN,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.336826,-99.10905,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14961,0,ERMITA IZTAPALAPA,CAMPECINOS,SANTA ISABEL INDUSTRIAL,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.35255001,-99.10614523,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14962,0,ERMITA IZTAPALAPA,ENTRE CAPRICORNIO Y LEON ,ERMITA CHURUBUSCO,#N/A,TAXQUEÑA,COYOACAN,SUR,19.357802,-99.123666,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14963,0,ERMITA IZTAPALAPA,ENTRE LEO Y CAPRICORNIO,CACAMA,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.35794,-99.123818,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14964,0,EJE 8 SUR (ERMITA IZTAPALAPA),FCO. ROJAS GONZÁLEZ,MIRAVALLE,#N/A,NATIVITAS,BENITO JUAREZ,SUR,19.35975263,-99.14069796,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14965,0,ERMITA IZTAPALAPA,MIRAVALLE,MIRAVALLE,#N/A,NATIVITAS,BENITO JUAREZ,SUR,19.359881,-99.140773,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
